Vcontrol	freq
0.41	1.0045901220
0.41	1.0046018970
0.41	1.0046136688
0.41	1.0046254373
0.41	1.0046372024
0.41	1.0046489642
0.41	1.0046607225
0.41	1.0046724773
0.41	1.0046842287
0.41	1.0046959764
0.42	1.0047077205
0.42	1.0047194610
0.42	1.0047311977
0.42	1.0047429307
0.42	1.0047546598
0.42	1.0047663851
0.42	1.0047781065
0.42	1.0047898239
0.42	1.0048015373
0.42	1.0048132467
0.43	1.0048249520
0.43	1.0048366531
0.43	1.0048483500
0.43	1.0048600426
0.43	1.0048717310
0.43	1.0048834150
0.43	1.0048950946
0.43	1.0049067697
0.43	1.0049184404
0.43	1.0049301065
0.44	1.0049417681
0.44	1.0049534250
0.44	1.0049650772
0.44	1.0049767246
0.44	1.0049883673
0.44	1.0050000051
0.44	1.0050116381
0.44	1.0050232661
0.44	1.0050348891
0.44	1.0050465070
0.45	1.0050581199
0.45	1.0050697277
0.45	1.0050813302
0.45	1.0050929275
0.45	1.0051045196
0.45	1.0051161063
0.45	1.0051276875
0.45	1.0051392634
0.45	1.0051508338
0.45	1.0051623986
0.46	1.0051739578
0.46	1.0051855114
0.46	1.0051970593
0.46	1.0052086015
0.46	1.0052201378
0.46	1.0052316683
0.46	1.0052431929
0.46	1.0052547116
0.46	1.0052662243
0.46	1.0052777309
0.47	1.0052892314
0.47	1.0053007257
0.47	1.0053122139
0.47	1.0053236958
0.47	1.0053351713
0.47	1.0053466406
0.47	1.0053581034
0.47	1.0053695597
0.47	1.0053810096
0.47	1.0053924528
0.48	1.0054038895
0.48	1.0054153194
0.48	1.0054267427
0.48	1.0054381591
0.48	1.0054495688
0.48	1.0054609715
0.48	1.0054723673
0.48	1.0054837562
0.48	1.0054951380
0.48	1.0055065127
0.49	1.0055178802
0.49	1.0055292406
0.49	1.0055405937
0.49	1.0055519395
0.49	1.0055632779
0.49	1.0055746090
0.49	1.0055859325
0.49	1.0055972486
0.49	1.0056085571
0.49	1.0056198579
0.50	1.0056311511
0.50	1.0056424366
0.50	1.0056537142
0.50	1.0056649841
0.50	1.0056762460
0.50	1.0056875000
